"","Outcome","N","Q1 Mean","Q2 Mean","Q3 Mean","Q4 Mean","T/S Ratio Year 1,
Quartile 2: [1.28, 1.42) vs. Quartile 1: <1.28"," "," "," ","T/S Ratio Year 1,
Quartile 3: [1.42, 1.56) vs. Quartile 1: <1.28"," "," "," ","T/S Ratio Year 1,
Quartile 4: >=1.56 vs. Quartile 1: <1.28"," "," "," "
"1"," "," "," "," "," "," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," "
"2"," "," "," "," "," "," ","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value"
"3","LAZ, Year 1","660","-1.66","-1.33","-1.44","-1.27","0.33 (0.1, 0.55)","0.01","0.26 (0.03, 0.48)","0.04","0.21 (-0.01, 0.44)","0.06","0.12 (-0.1, 0.34)","0.27","0.38 (0.16, 0.61)","0","0.25 (0.03, 0.47)","0.04"
"4","WAZ, Year 1","662","-1.45","-1.19","-1.32","-1.29","0.26 (0.03, 0.49)","0.08","0.2 (-0.03, 0.43)","0.27","0.12 (-0.11, 0.35)","0.32","0.03 (-0.2, 0.25)","0.86","0.16 (-0.08, 0.4)","0.28","0.02 (-0.22, 0.26)","0.86"
"5","WLZ, Year 1","660","-0.86","-0.75","-0.87","-0.93","0.12 (-0.1, 0.33)","0.87","0.05 (-0.18, 0.28)","0.65","-0.01 (-0.22, 0.21)","0.96","-0.05 (-0.27, 0.16)","0.65","-0.06 (-0.28, 0.16)","0.89","-0.16 (-0.39, 0.07)","0.54"
"6","HCZ, Year 1","660","-1.82","-1.7","-1.64","-1.8","0.12 (-0.08, 0.33)","0.34","0.07 (-0.14, 0.28)","0.67","0.18 (-0.03, 0.38)","0.29","0.18 (-0.03, 0.4)","0.28","0.02 (-0.19, 0.22)","0.87","0.05 (-0.16, 0.25)","0.67"
"7"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"8","LAZ, Year 2","580","-1.74","-1.54","-1.57","-1.46","0.2 (-0.02, 0.41)","0.13","-0.01 (-0.16, 0.14)","1","0.18 (-0.05, 0.4)","0.18","0.05 (-0.1, 0.21)","0.92","0.28 (0.05, 0.51)","0.08","0.11 (-0.05, 0.27)","0.44"
"9","WAZ, Year 2","582","-1.57","-1.49","-1.58","-1.55","0.08 (-0.13, 0.29)","0.79","-0.02 (-0.15, 0.11)","0.91","0 (-0.22, 0.21)","0.97","0.01 (-0.12, 0.15)","0.91","0.02 (-0.19, 0.24)","0.94","0.06 (-0.07, 0.19)","0.78"
"10","WLZ, Year 2","580","-0.88","-0.94","-1.03","-1.07","-0.06 (-0.26, 0.14)","0.7","-0.09 (-0.23, 0.06)","0.63","-0.15 (-0.35, 0.06)","0.45","-0.08 (-0.24, 0.07)","0.63","-0.19 (-0.38, 0)","0.45","-0.11 (-0.25, 0.03)","0.6"
"11","HCZ, Year 2","580","-1.82","-1.78","-1.69","-1.85","0.04 (-0.18, 0.26)","0.78","0.02 (-0.19, 0.24)","0.99","0.14 (-0.07, 0.34)","0.44","0.1 (-0.11, 0.31)","0.79","-0.03 (-0.23, 0.17)","0.78","0.09 (-0.1, 0.28)","0.79"
"12"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"13","Change in LAZ between Year 1 and Year 2","580","-0.1","-0.15","-0.13","-0.21","-0.05 (-0.16, 0.06)","0.41","0 (-0.11, 0.11)","0.99","-0.03 (-0.15, 0.08)","0.58","0.04 (-0.07, 0.14)","0.94","-0.11 (-0.22, 0.01)","0.21","-0.02 (-0.13, 0.1)","0.95"
"14","Change in WAZ between Year 1 and Year 2","582","-0.16","-0.27","-0.23","-0.24","-0.11 (-0.23, 0.01)","0.27","-0.08 (-0.19, 0.04)","0.36","-0.07 (-0.19, 0.05)","0.33","-0.07 (-0.19, 0.05)","0.36","-0.08 (-0.2, 0.04)","0.27","-0.1 (-0.21, 0.04)","0.34"
"15","Change in WLZ between Year 1 and Year 2","580","-0.06","-0.17","-0.13","-0.1","-0.11 (-0.27, 0.05)","0.68","-0.1 (-0.25, 0.05)","0.35","-0.07 (-0.23, 0.09)","0.68","-0.09 (-0.25, 0.07)","0.35","-0.04 (-0.2, 0.11)","0.7","-0.13 (-0.28, 0.02)","0.35"
"16","Change in HCZ between Year 1 and Year 2","578","-0.03","-0.09","-0.02","-0.03","-0.06 (-0.19, 0.06)","0.98","-0.05 (-0.18, 0.08)","0.88","0.01 (-0.11, 0.12)","0.98","0.01 (-0.11, 0.13)","0.95","0 (-0.12, 0.12)","0.98","0 (-0.12, 0.13)","0.95"
"17"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"18","Length velocity (cm/month) between Year 1 and Year 2","580","0.79","0.79","0.79","0.79","0 (-0.03, 0.02)","0.78","-0.01 (-0.04, 0.01)","0.61","0 (-0.02, 0.03)","0.78","0.01 (-0.02, 0.03)","0.7","0.01 (-0.02, 0.03)","0.78","0.01 (-0.02, 0.04)","0.7"
"19","Weight velocity (kg/month) between Year 1 and Year 2","582","0.16","0.15","0.15","0.15","-0.01 (-0.01, 0)","0.58","-0.01 (-0.02, 0)","0.49","0 (-0.01, 0.01)","0.58","0 (-0.01, 0.01)","0.58","0 (-0.01, 0.01)","0.58","0 (-0.01, 0.01)","0.58"
"20","Head circumference velocity (cm/month) between Year 1 and Year 2","580","0.15","0.14","0.15","0.16","-0.01 (-0.02, 0.01)","0.68","0 (-0.02, 0.01)","0.77","0 (-0.01, 0.01)","0.74","0 (-0.01, 0.01)","0.92","0.01 (-0.01, 0.02)","0.68","0.01 (-0.01, 0.02)","0.77"
